,x,y,ground_truth,mu_x,mu_y,sigma_x,sigma_y,certainty,prediction
0,1.023161843311798,-0.6205176572396593,3,0.0,-2.0,1.0,2.5,0.35655396827909547,3
1,1.1144820722826871,-0.4882146258886262,3,0.0,-2.0,1.0,2.5,0.35819458463922155,2
2,1.1670678482104833,-0.5261443324071031,1,1.0,2.0,1.0,2.2,0.3712891232294119,2
3,0.6123809760772319,0.2158790827256496,2,2.0,-2.0,2.0,3.0,0.37866037321256296,1
4,0.8991521529719869,0.06770034244328449,1,1.0,2.0,1.0,2.2,0.3910853960127704,1
5,1.1854654277202892,-0.030874861846691193,2,2.0,-2.0,2.0,3.0,0.39816346510858636,1
6,1.1596125356869185,-0.011376677339895114,2,2.0,-2.0,2.0,3.0,0.3999054472878038,1
7,0.5853171296151268,-0.00042744172083897247,3,0.0,-2.0,1.0,2.5,0.40286829870607843,3
8,0.9687011288863995,0.09720611091197373,3,0.0,-2.0,1.0,2.5,0.40289254672739694,1
9,1.4488721287873538,-0.26403869241333444,2,2.0,-2.0,2.0,3.0,0.41117091132249856,2
10,-0.8484693883204084,2.4913515427872177,2,2.0,-2.0,2.0,3.0,0.4143451457571159,1
11,-1.8868084457189411,4.4226205884717285,2,2.0,-2.0,2.0,3.0,0.41595007680968504,2
12,1.5458754356673672,0.06532860726713352,2,2.0,-2.0,2.0,3.0,0.4175568838095823,1
13,1.0732433518669076,-1.6713436435305034,3,0.0,-2.0,1.0,2.5,0.42064975626203605,2
14,-0.2694541903014742,1.2991433548539906,2,2.0,-2.0,2.0,3.0,0.4272263668012134,3
15,-1.4810318703304521,2.6396016559419158,3,0.0,-2.0,1.0,2.5,0.42973032651753446,3
16,-1.5437157105025456,4.448247072633814,3,0.0,-2.0,1.0,2.5,0.43115283162688006,1
17,0.16376348126152018,1.0400192714352636,1,1.0,2.0,1.0,2.2,0.43259609932295195,1
18,0.7747750496374541,-0.8438391565897072,2,2.0,-2.0,2.0,3.0,0.441689210607045,3
19,1.3391864437345766,-0.9429258533845597,3,0.0,-2.0,1.0,2.5,0.44208553066697964,2
20,0.5518123340054422,-0.33392924268236457,2,2.0,-2.0,2.0,3.0,0.4468841382618742,3
21,0.7790024089098302,-0.9743674429684854,3,0.0,-2.0,1.0,2.5,0.45202624192315655,3
22,-0.4251955558834306,2.034944326476549,3,0.0,-2.0,1.0,2.5,0.4550364759226232,1
23,1.9344963718616177,0.483646252289224,1,1.0,2.0,1.0,2.2,0.4563336451063979,2
24,1.7792924946293962,0.5191448378501753,3,0.0,-2.0,1.0,2.5,0.4723629218109623,1
25,1.391978903103165,-1.192717998047056,2,2.0,-2.0,2.0,3.0,0.4752093412978878,2
26,0.19057482621375188,0.12037832610911359,2,2.0,-2.0,2.0,3.0,0.4775652065988588,3
27,-1.4065042225392115,4.476997017945307,3,0.0,-2.0,1.0,2.5,0.47867395786259526,1
28,1.6808188732945237,-0.3585431433692978,1,1.0,2.0,1.0,2.2,0.47947102567781175,2
29,1.3127124040528757,0.4588561082669296,1,1.0,2.0,1.0,2.2,0.4823292288620688,1
