,x,y,ground_truth,mu_x,mu_y,sigma_x,sigma_y,certainty,prediction
0,5.163190124154339,-0.1261280171575886,2,2.0,0.0,1.0,0.5,0.5007786813802259,1
1,5.164078322199622,0.8104417916627588,1,4.0,0.0,2.0,1.0,0.5024293398264673,1
2,2.8453336989611606,-0.2818086358726964,2,2.0,0.0,1.0,0.5,0.5025077437269844,2
3,2.971584585188852,-0.09709852580353,1,4.0,0.0,2.0,1.0,0.5031339358154862,1
4,5.190170672867596,0.3401750386021991,2,6.0,0.0,1.0,1.0,0.50617215005892,2
5,8.1929792658817,-0.7775131527067973,2,6.0,0.0,1.0,1.0,0.506359710142268,1
6,2.669367374264899,-0.4122257700854785,2,2.0,0.0,1.0,0.5,0.5076975355039026,2
7,2.3064430519119474,-0.5650746944499734,1,4.0,0.0,2.0,1.0,0.5114778836044414,2
8,3.0191046229679896,0.03142520194818268,2,2.0,0.0,1.0,0.5,0.5126489788519099,1
9,5.215818297210482,-0.12835661761426523,2,6.0,0.0,1.0,1.0,0.5134230001057398,2
10,5.123010275969563,0.6612263062202848,1,4.0,0.0,2.0,1.0,0.5135784844821223,1
11,2.9696736846532588,0.198754103807575,2,2.0,0.0,1.0,0.5,0.513767670060767,1
12,2.912297568090885,0.042690942600232526,2,2.0,0.0,1.0,0.5,0.5149190167937007,2
13,2.923165050766792,0.30394114162891095,1,4.0,0.0,2.0,1.0,0.5214056160308639,1
14,1.5116146186338142,-0.5930013463916449,2,2.0,0.0,1.0,0.5,0.5238383885059498,2
15,2.873781287864961,0.3998969094941586,2,2.0,0.0,1.0,0.5,0.5341919580179303,1
16,0.5539660233529169,-0.1928897328395015,2,2.0,0.0,1.0,0.5,0.5348467220976066,1
17,1.091821832974716,0.43359852365722545,2,2.0,0.0,1.0,0.5,0.5358621995094042,2
18,2.532051925429261,-0.6002112843288439,2,2.0,0.0,1.0,0.5,0.5374234175111827,1
19,8.029304203832531,-0.5748713447284186,2,6.0,0.0,1.0,1.0,0.5378606403789729,2
20,3.0467633551853446,-0.22379063949441466,2,2.0,0.0,1.0,0.5,0.5382007892102567,1
21,5.3303711162604825,-0.8366151376366447,2,6.0,0.0,1.0,1.0,0.5417581848926989,2
22,5.3401087864135945,0.4303792729031275,2,6.0,0.0,1.0,1.0,0.5448144573728008,2
23,0.93093061141446,-0.5721847340435963,2,2.0,0.0,1.0,0.5,0.5467607944079392,1
24,0.8164086493528298,0.032421751181286596,2,2.0,0.0,1.0,0.5,0.5496333405149919,2
25,0.6012680015766685,0.3417284363994644,1,0.0,0.0,2.0,1.0,0.5504897327825418,1
26,2.631484933500683,-0.27332951727937665,2,2.0,0.0,1.0,0.5,0.5506516231256405,2
27,2.1310150830984287,-0.5102297876833692,2,2.0,0.0,1.0,0.5,0.5516717894404874,2
28,2.550780992207429,0.33490790350713795,2,2.0,0.0,1.0,0.5,0.551763402777417,2
29,0.9354867956056381,0.5885986346899095,2,2.0,0.0,1.0,0.5,0.5528899194830947,1
